t (ms), uL (%), uR (%), f_x (ms^-2), f_y (ms^-2), f_z (ms^-2), w_x (rad/s), w_y (rad/s), w_z (rad/s)
2392, 27.70, 22.30, -2.43, 3.33, 10.75, -0.05, 0.09, -0.02
2402, 27.70, 22.30, 1.32, -4.40, 10.24, -0.02, 0.05, 0.05
2412, 27.70, 22.30, -0.90, 2.04, 8.20, -0.03, 0.07, -0.04
2422, 27.70, 22.30, 2.04, -2.00, 8.05, -0.08, 0.03, -0.07
2432, 27.70, 22.30, 0.96, 2.05, 8.36, -0.01, 0.09, 0.06
2442, 27.70, 22.30, -1.07, -4.53, 10.31, -0.00, 0.06, -0.07
2452, 27.70, 22.30, -0.12, -0.03, 10.37, -0.06, 0.04, 0.04
2462, 27.70, 22.30, -0.26, 2.67, 9.83, -0.02, 0.06, -0.06
2472, 27.70, 22.30, 2.16, -2.21, 9.55, -0.03, 0.13, 0.05
2482, 27.70, 22.30, -0.64, 0.35, 9.25, -0.08, 0.11, -0.06
2492, 27.70, 22.30, 1.49, -0.78, 8.28, -0.03, -0.01, -0.07
2502, 27.70, 22.30, -1.96, 2.40, 8.16, -0.01, 0.04, 0.10
2512, 27.70, 22.30, 0.59, -4.31, 9.48, -0.09, 0.10, -0.06
2522, 27.70, 22.30, 2.23, 4.21, 9.42, -0.05, 0.10, 0.01
2532, 27.70, 22.30, 3.00, -0.96, 8.40, 0.00, 0.03, -0.02
2542, 27.70, 22.30, -0.34, -1.27, 11.31, -0.06, 0.01, 0.02
2552, 27.70, 22.30, -2.72, 1.28, 12.15, -0.05, 0.14, -0.02
2562, 27.70, 22.30, 1.58, -6.16, 11.07, 0.00, 0.04, 0.06
2572, 27.70, 22.30, -1.97, 2.38, 8.45, -0.04, 0.02, -0.05
2582, 27.70, 22.30, 0.36, -0.44, 9.59, -0.07, 0.04, -0.07
2592, 27.70, 22.30, 0.02, -0.20, 9.17, -0.01, 0.09, 0.08
2602, 27.70, 22.30, 0.88, -4.18, 8.88, -0.01, 0.02, -0.07
2611, 27.70, 22.30, 0.88, -4.18, 8.88, -0.01, 0.02, -0.07
2622, 27.70, 22.30, 0.19, 0.58, 10.05, -0.04, 0.09, -0.02
2632, 27.70, 22.30, 1.18, -1.96, 10.64, -0.03, 0.04, 0.01
2642, 27.70, 22.30, -0.53, 2.80, 7.98, -0.07, 0.07, -0.04
2652, 27.70, 22.30, 2.86, -1.98, 8.27, -0.02, 0.05, -0.01
2662, 27.70, 22.30, -2.44, 1.52, 9.80, -0.01, 0.09, 0.06
2672, 27.70, 22.30, 0.74, -5.30, 9.78, -0.08, 0.05, -0.07
2682, 27.70, 22.30, 1.57, 4.65, 8.57, -0.02, 0.05, 0.02
2692, 27.70, 22.30, 0.86, -0.43, 11.43, -0.01, 0.10, -0.00
2702, 27.70, 22.30, -2.00, -3.47, 11.49, -0.08, 0.05, 0.04
2712, 27.70, 22.30, -2.23, 2.41, 8.94, -0.02, 0.06, -0.08
2722, 27.70, 22.30, 1.11, -2.02, 8.66, -0.00, 0.02, 0.05
2732, 27.70, 22.30, -1.07, 2.30, 8.21, -0.08, 0.09, -0.03
2742, 27.70, 22.30, 2.30, -1.26, 9.15, -0.08, 0.05, -0.10
2752, 27.70, 22.30, 0.34, 0.13, 8.69, 0.02, 0.07, 0.08
2762, 27.70, 22.30, -0.59, -3.54, 10.64, -0.03, 0.05, -0.07
2772, 27.70, 22.30, -1.76, 3.19, 10.81, -0.06, 0.10, 0.04
2782, 27.70, 22.30, 1.87, -2.10, 8.96, -0.01, 0.09, -0.01
2792, 27.70, 22.30, 2.15, -0.38, 8.02, -0.04, 0.03, -0.00
2802, 27.70, 22.30, -0.56, 4.47, 7.94, -0.08, 0.12, -0.03
2811, 27.70, 22.30, -0.56, 4.47, 7.94, -0.08, 0.12, -0.03
2822, 27.70, 22.30, -0.96, 1.49, 8.94, -0.03, 0.05, -0.00
2831, 27.70, 22.30, -0.96, 1.49, 8.94, -0.03, 0.05, -0.00
2841, 27.70, 22.30, -1.71, -2.55, 11.09, -0.06, 0.06, -0.06
2852, 27.70, 22.30, 0.51, -3.93, 10.89, -0.00, 0.05, -0.05
2861, 27.70, 22.30, 0.51, -3.93, 10.89, -0.00, 0.05, -0.05
2872, 27.70, 22.30, -1.39, 2.76, 8.75, -0.05, 0.09, -0.05
2881, 27.70, 22.30, -1.39, 2.76, 8.75, -0.05, 0.09, -0.05
2891, 27.70, 22.30, 2.80, -3.29, 8.57, -0.01, 0.05, 0.00
2901, 27.70, 22.30, -1.45, 0.62, 8.49, -0.02, 0.09, 0.02
2911, 27.70, 22.30, 1.67, -2.30, 9.91, -0.08, 0.07, -0.09
2921, 27.70, 22.30, 0.51, 2.51, 10.43, -0.02, 0.09, 0.07
2931, 27.70, 22.30, 0.58, -5.19, 10.81, -0.01, 0.03, -0.02
2941, 27.70, 22.30, -0.60, -0.28, 10.89, -0.06, 0.02, -0.00
2952, 27.70, 22.30, 1.36, -3.94, 10.35, -0.05, 0.06, 0.04
2961, 27.70, 22.30, 1.36, -3.94, 10.35, -0.05, 0.06, 0.04
2971, 27.70, 22.30, -1.26, 3.07, 7.47, -0.05, 0.06, -0.08
2981, 27.70, 22.30, 1.96, -0.23, 9.00, -0.05, 0.05, -0.04
2991, 27.70, 22.30, 0.64, 1.10, 8.60, -0.01, 0.09, 0.08
3002, 27.70, 22.30, 2.02, 1.73, 7.39, -0.03, 0.08, 0.04
3011, 27.70, 22.30, 2.02, 1.73, 7.39, -0.03, 0.08, 0.04
3022, 27.70, 22.30, 1.52, -0.89, 9.98, -0.07, 0.09, 0.06
3031, 27.70, 22.30, 1.52, -0.89, 9.98, -0.07, 0.09, 0.06
3041, 27.70, 22.30, 0.17, 0.61, 9.16, -0.06, 0.10, -0.03
3052, 27.70, 22.30, -2.32, 2.75, 10.64, -0.04, 0.07, 0.04
3061, 27.70, 22.30, -2.32, 2.75, 10.64, -0.04, 0.07, 0.04
3071, 27.70, 22.30, -1.94, -6.37, 10.80, -0.10, 0.05, -0.08
3082, 27.70, 22.30, -0.94, -3.56, 11.00, -0.01, -0.01, -0.03
3091, 27.70, 22.30, -0.94, -3.56, 11.00, -0.01, -0.01, -0.03
